,Gender,Height,Weight,Index
167,1->,140-170,50-105,0->
168,1->,140-170,50-105,0->
169,1->,140-170,50-105,0->
170,1->,140-170,50-105,0->
171,1->,140-170,50-105,0->
172,1->,140-170,50-105,0->
173,1->,140-170,50-105,0->
174,1->,140-170,50-105,0->
175,1->,140-170,50-105,0->
176,1->,140-170,50-105,0->
177,1->,140-170,50-105,0->
178,1->,140-170,50-105,0->
179,1->,140-170,50-105,0->
180,1->,140-170,50-105,0->
181,1->,170->,50-105,0->
182,1->,170->,50-105,0->
183,1->,170->,50-105,0->
184,1->,170->,50-105,0->
185,1->,170->,50-105,0->
186,1->,170->,50-105,0->
187,1->,170->,50-105,0->
188,1->,170->,50-105,0->
189,1->,170->,50-105,0->
190,1->,170->,50-105,0->
191,1->,170->,50-105,0->
192,1->,170->,50-105,0->
193,1->,170->,50-105,0->
194,1->,170->,50-105,0->
195,1->,170->,50-105,0->
196,1->,170->,50-105,0->
197,1->,170->,50-105,0->
198,1->,170->,50-105,0->
199,1->,170->,50-105,0->
200,1->,170->,50-105,0->
201,1->,170->,50-105,0->
202,1->,170->,50-105,0->
203,1->,170->,50-105,0->
204,1->,170->,50-105,0->
205,1->,170->,50-105,0->
206,1->,170->,50-105,0->
207,1->,170->,50-105,0->
208,1->,170->,50-105,0->
209,1->,170->,50-105,0->
210,1->,170->,50-105,0->
211,1->,170->,50-105,0->
212,1->,170->,50-105,0->
213,1->,170->,50-105,0->
214,1->,170->,50-105,0->
215,1->,170->,50-105,0->
216,1->,170->,50-105,0->
217,1->,170->,50-105,0->
218,1->,170->,50-105,0->
219,1->,170->,50-105,0->
220,1->,170->,50-105,0->
221,1->,170->,50-105,0->
222,1->,170->,50-105,0->
223,1->,170->,50-105,0->
224,1->,170->,50-105,0->
225,1->,170->,50-105,0->
226,1->,170->,50-105,0->
227,1->,170->,50-105,0->
228,1->,170->,50-105,0->
229,1->,170->,50-105,0->
230,1->,170->,50-105,0->
231,1->,170->,50-105,0->
232,1->,170->,50-105,0->
233,1->,170->,50-105,0->
234,1->,170->,50-105,0->
235,1->,170->,50-105,0->
236,1->,170->,50-105,0->
237,1->,170->,50-105,0->
238,1->,170->,50-105,0->
239,1->,170->,50-105,0->
240,1->,170->,50-105,0->
241,1->,170->,50-105,0->
242,1->,170->,50-105,0->
243,0-1,140-170,105-138,0->
244,0-1,140-170,105-138,0->
245,0-1,140-170,105-138,0->
246,0-1,140-170,105-138,0->
247,0-1,140-170,105-138,0->
248,0-1,140-170,105-138,0->
249,0-1,140-170,105-138,0->
250,0-1,140-170,105-138,0->
251,0-1,140-170,105-138,0->
252,0-1,140-170,105-138,0->
253,0-1,140-170,105-138,0->
254,0-1,140-170,105-138,0->
255,0-1,140-170,105-138,0->
256,0-1,140-170,105-138,0->
257,0-1,140-170,105-138,0->
258,0-1,140-170,105-138,0->
259,0-1,140-170,105-138,0->
260,0-1,140-170,105-138,0->
261,0-1,140-170,105-138,0->
262,0-1,140-170,105-138,0->
263,0-1,140-170,105-138,0->
264,0-1,140-170,105-138,0->
265,0-1,140-170,105-138,0->
266,0-1,140-170,105-138,0->
267,0-1,140-170,105-138,0->
268,0-1,140-170,105-138,0->
269,0-1,140-170,105-138,0->
270,0-1,140-170,105-138,0->
271,0-1,140-170,105-138,0->
272,0-1,140-170,105-138,0->
273,0-1,140-170,105-138,0->
274,0-1,140-170,138->,0->
275,0-1,140-170,138->,0->
276,0-1,140-170,138->,0->
277,0-1,140-170,138->,0->
278,0-1,140-170,138->,0->
279,0-1,140-170,138->,0->
280,0-1,140-170,138->,0->
281,0-1,140-170,138->,0->
282,0-1,140-170,138->,0->
283,0-1,140-170,138->,0->
284,0-1,140-170,138->,0->
285,0-1,140-170,138->,0->
286,0-1,140-170,138->,0->
287,0-1,140-170,138->,0->
288,0-1,140-170,138->,0->
289,0-1,140-170,138->,0->
290,0-1,140-170,138->,0->
291,0-1,140-170,138->,0->
292,0-1,140-170,138->,0->
293,0-1,140-170,138->,0->
294,0-1,140-170,138->,0->
295,0-1,140-170,138->,0->
296,0-1,140-170,138->,0->
297,0-1,140-170,138->,0->
298,0-1,140-170,138->,0->
299,0-1,140-170,138->,0->
300,0-1,140-170,138->,0->
301,0-1,140-170,138->,0->
302,0-1,140-170,138->,0->
303,0-1,140-170,138->,0->
304,0-1,140-170,138->,0->
305,0-1,170->,105-138,0->
306,0-1,170->,105-138,0->
307,0-1,170->,105-138,0->
308,0-1,170->,105-138,0->
309,0-1,170->,105-138,0->
310,0-1,170->,105-138,0->
311,0-1,170->,105-138,0->
312,0-1,170->,105-138,0->
313,0-1,170->,105-138,0->
314,0-1,170->,105-138,0->
315,0-1,170->,105-138,0->
316,0-1,170->,105-138,0->
317,0-1,170->,105-138,0->
318,0-1,170->,105-138,0->
319,0-1,170->,105-138,0->
320,0-1,170->,105-138,0->
321,0-1,170->,105-138,0->
322,0-1,170->,105-138,0->
323,0-1,170->,105-138,0->
324,0-1,170->,105-138,0->
325,0-1,170->,105-138,0->
326,0-1,170->,105-138,0->
327,0-1,170->,105-138,0->
328,0-1,170->,105-138,0->
329,0-1,170->,105-138,0->
330,0-1,170->,105-138,0->
331,0-1,170->,105-138,0->
332,0-1,170->,105-138,0->
333,0-1,170->,105-138,0->
334,0-1,170->,105-138,0->
335,0-1,170->,105-138,0->
336,0-1,170->,105-138,0->
337,0-1,170->,105-138,0->
338,0-1,170->,105-138,0->
339,0-1,170->,105-138,0->
340,0-1,170->,105-138,0->
341,0-1,170->,105-138,0->
342,0-1,170->,105-138,0->
343,0-1,170->,105-138,0->
344,0-1,170->,105-138,0->
345,0-1,170->,138->,0->
346,0-1,170->,138->,0->
347,0-1,170->,138->,0->
348,0-1,170->,138->,0->
349,0-1,170->,138->,0->
350,0-1,170->,138->,0->
351,0-1,170->,138->,0->
352,0-1,170->,138->,0->
353,0-1,170->,138->,0->
354,0-1,170->,138->,0->
355,0-1,170->,138->,0->
356,0-1,170->,138->,0->
357,0-1,170->,138->,0->
358,0-1,170->,138->,0->
359,0-1,170->,138->,0->
360,0-1,170->,138->,0->
361,0-1,170->,138->,0->
362,0-1,170->,138->,0->
363,0-1,170->,138->,0->
364,0-1,170->,138->,0->
365,0-1,170->,138->,0->
366,0-1,170->,138->,0->
367,0-1,170->,138->,0->
368,0-1,170->,138->,0->
369,0-1,170->,138->,0->
370,0-1,170->,138->,0->
371,0-1,170->,138->,0->
372,0-1,170->,138->,0->
373,1->,140-170,105-138,0->
374,1->,140-170,105-138,0->
375,1->,140-170,105-138,0->
376,1->,140-170,105-138,0->
377,1->,140-170,105-138,0->
378,1->,140-170,105-138,0->
379,1->,140-170,105-138,0->
380,1->,140-170,105-138,0->
381,1->,140-170,105-138,0->
382,1->,140-170,105-138,0->
383,1->,140-170,105-138,0->
384,1->,140-170,105-138,0->
385,1->,140-170,105-138,0->
386,1->,140-170,105-138,0->
387,1->,140-170,105-138,0->
388,1->,140-170,105-138,0->
389,1->,140-170,105-138,0->
390,1->,140-170,105-138,0->
391,1->,140-170,105-138,0->
392,1->,140-170,105-138,0->
393,1->,140-170,105-138,0->
394,1->,140-170,105-138,0->
395,1->,140-170,105-138,0->
396,1->,140-170,105-138,0->
397,1->,140-170,105-138,0->
398,1->,140-170,105-138,0->
399,1->,140-170,105-138,0->
400,1->,140-170,105-138,0->
401,1->,140-170,105-138,0->
402,1->,140-170,105-138,0->
403,1->,140-170,105-138,0->
404,1->,140-170,138->,0->
405,1->,140-170,138->,0->
406,1->,140-170,138->,0->
407,1->,140-170,138->,0->
408,1->,140-170,138->,0->
409,1->,140-170,138->,0->
410,1->,140-170,138->,0->
411,1->,140-170,138->,0->
412,1->,140-170,138->,0->
413,1->,140-170,138->,0->
414,1->,140-170,138->,0->
415,1->,140-170,138->,0->
416,1->,140-170,138->,0->
417,1->,140-170,138->,0->
418,1->,140-170,138->,0->
419,1->,140-170,138->,0->
420,1->,140-170,138->,0->
421,1->,140-170,138->,0->
422,1->,140-170,138->,0->
423,1->,140-170,138->,0->
424,1->,140-170,138->,0->
425,1->,140-170,138->,0->
426,1->,140-170,138->,0->
427,1->,140-170,138->,0->
428,1->,140-170,138->,0->
429,1->,140-170,138->,0->
430,1->,140-170,138->,0->
431,1->,140-170,138->,0->
432,1->,140-170,138->,0->
433,1->,140-170,138->,0->
434,1->,170->,105-138,0->
435,1->,170->,105-138,0->
436,1->,170->,105-138,0->
437,1->,170->,105-138,0->
438,1->,170->,105-138,0->
439,1->,170->,105-138,0->
440,1->,170->,105-138,0->
441,1->,170->,105-138,0->
442,1->,170->,105-138,0->
443,1->,170->,105-138,0->
444,1->,170->,105-138,0->
445,1->,170->,105-138,0->
446,1->,170->,105-138,0->
447,1->,170->,105-138,0->
448,1->,170->,105-138,0->
449,1->,170->,105-138,0->
450,1->,170->,105-138,0->
451,1->,170->,105-138,0->
452,1->,170->,105-138,0->
453,1->,170->,105-138,0->
454,1->,170->,105-138,0->
455,1->,170->,105-138,0->
456,1->,170->,105-138,0->
457,1->,170->,105-138,0->
458,1->,170->,105-138,0->
459,1->,170->,105-138,0->
460,1->,170->,105-138,0->
461,1->,170->,105-138,0->
462,1->,170->,105-138,0->
463,1->,170->,105-138,0->
464,1->,170->,105-138,0->
465,1->,170->,105-138,0->
466,1->,170->,105-138,0->
467,1->,170->,105-138,0->
468,1->,170->,105-138,0->
469,1->,170->,105-138,0->
470,1->,170->,138->,0->
471,1->,170->,138->,0->
472,1->,170->,138->,0->
473,1->,170->,138->,0->
474,1->,170->,138->,0->
475,1->,170->,138->,0->
476,1->,170->,138->,0->
477,1->,170->,138->,0->
478,1->,170->,138->,0->
479,1->,170->,138->,0->
480,1->,170->,138->,0->
481,1->,170->,138->,0->
482,1->,170->,138->,0->
483,1->,170->,138->,0->
484,1->,170->,138->,0->
485,1->,170->,138->,0->
486,1->,170->,138->,0->
487,1->,170->,138->,0->
488,1->,170->,138->,0->
489,1->,170->,138->,0->
490,1->,170->,138->,0->
491,1->,170->,138->,0->
492,1->,170->,138->,0->
493,1->,170->,138->,0->
494,1->,170->,138->,0->
495,1->,170->,138->,0->
496,1->,170->,138->,0->
497,1->,170->,138->,0->
498,1->,170->,138->,0->
499,1->,170->,138->,0->
